paIsTranslatable,FORMAT,INITIAL,MANDATORY,DECIMALS,paDecimalInformation,EXTENT,paDescriptionACM,paDomainType,LOB-SIZE,CLOB-CODEPAGE,paIsBlockable,CASE-SENSITIVE,paDomainSubType,DATA-TYPE,CLOB-COLLATION,CLOB-TYPE,name,id,parent,schema_Id
"","","","","","\n{&pa-WaehrungsNK_FW}\n","","","","","","","","","","","","Additional Charge (IC-Total Sum)","PA0292:pA:f7f3589a89d74bd285a370f3f08418bf","PA0292:pA:5b8cf0dab3ff42c8883f65a3b384150e",0
"","","","","","","","","","","","","","","","","","Additional Charge (IC-Total)","PA0292:pA:5b8cf0dab3ff42c8883f65a3b384150e","PA0292:pA:d5913b2e1c0b453e95cec653c5898d75",0
"","\nz,zzz,zz9.99\n","","","","","","","","","","","","","","","","Additional Charge (Unit - positive)","PA0292:pA:b9e226379b46f99ce011cb4bbf5aa5ae","PA0292:pA:1ce9ec76f0d74ad781ec2ebc43d88edd",0
"","\nzzz,zz9.99-\n","","","","","","","","","","","","","","","","Additional Charge (Unit)","PA0292:pA:1ce9ec76f0d74ad781ec2ebc43d88edd","PA0292:pA:ac1410a9a6e2480d96e50e4e266a8823",0
"","","","","","","\n10\n","","","","","","","","","","","Additional Charge (Unit) [e10]","PA0292:pA:d8e5f07b71f14542acebaeec78bafb56","PA0292:pA:1ce9ec76f0d74ad781ec2ebc43d88edd",0
"","\nx(60)\n","","","","","","","","","","","","","","","","Additional Information","PA0292:pA:9c42247b735fc681e1113abc07debe04","PA0292:pA:f756789bc40e4bae9339f304dc74f5b0",0
"","\nx(60)\n","","","","","","","","","","","","","","","","Additional Information (Reports)","PA0292:pA:5be0a0f7852049328738b888f595594e","PA0292:pA:b7375ab07eb80192da1164c5c4279532",0
"","","","","","","","","","","","","","","","","","additiv","PA0292:pA:bc7e5627e7b44f459115069d4354412e","PA0292:pA:f0767dca8f398f81db112a015ab866f6",0
"","\nzz9\n","","","","","","","","","","","","","","","","Address Assignment","PA0292:pA:78a79ff04fe144f7b82da632a06518ea","PA0292:pA:af3e2fa1f6e0402cb1e2337027f27ac9",0
"","\nx(20)\n","","","","","","","","","","","","","","","","Address Code Format","PA0292:pA:d5a918cf63bb14a0da11feeaad75400e","PA0292:pA:0da796aef5d2433e985b6dc4ea1cf2c1",0
"","","","","","","","","","","","","","","","","","Address Component (char)","PA0292:pA:0da796aef5d2433e985b6dc4ea1cf2c1","PA0292:pA:d4714e93a52a4471be0cf9a287c4be31",0
"","","","","","","","","","","","","","","","","","Address Component Descriptions","PA0292:pA:d5a918cf63bb14a0da1108eb5b612182","PA0292:pA:0da796aef5d2433e985b6dc4ea1cf2c1",0
"","\nx(40)\n","","","","","","","","","","","","","","","","Address Component: Addendum","PA0292:pA:5465fcbc55f845f49d1b0db21ca8f6b0","PA0292:pA:0da796aef5d2433e985b6dc4ea1cf2c1",0
"","\nx(30)\n","","","","","","","","","","","","","","","","Address Component: City","PA0292:pA:7287299a892a4462b6ba3cc0c14c0798","PA0292:pA:0da796aef5d2433e985b6dc4ea1cf2c1",0
"","\nx(3)\n","","","","","","","","","","","","","","","","Address Component: Country","PA0292:pA:03215f9ef90c46bb91f61840132d4e4c","PA0292:pA:0da796aef5d2433e985b6dc4ea1cf2c1",0
"","\nx(60)\n","","","","","","","","","","","","","","","","Address Component: eMail","PA0292:pA:3e44fe2e559f444fa05d19d961433ce5","PA0292:pA:0da796aef5d2433e985b6dc4ea1cf2c1",0
"","\nx(60)\n","","","","","","","","","","","","","","","","Address Component: Homepage","PA0292:pA:815082627e814e2cbb74f26b5f4ad36b","PA0292:pA:0da796aef5d2433e985b6dc4ea1cf2c1",0
"","\nx(35)\n","","","","","","","","","","","","","","","","Address Component: Name","PA0292:pA:2b5ba83b58b344d7b834eb362d471e9f","PA0292:pA:0da796aef5d2433e985b6dc4ea1cf2c1",0
"","\nx(25)\n","","","","","","","","","","","","","","","","Address Component: Phone & Fax","PA0292:pA:eed89d37d5a947f7b49f35babdbd3110","PA0292:pA:0da796aef5d2433e985b6dc4ea1cf2c1",0
"","\nx(30)\n","","","","","","","","","","","","","","","","Address Component: Postbox","PA0292:pA:1e2133def4f64458ae70cd9b295c9362","PA0292:pA:0da796aef5d2433e985b6dc4ea1cf2c1",0
"","","","","","","","","","","","","","","","","","Address Component: Salutation","PA0292:pA:316af7e0daa4466c8dd244e86e2c095b","PA0292:pA:0da796aef5d2433e985b6dc4ea1cf2c1",0
"\nno\n","\nx(32)\n","","","","","","","","","","","","","","","","Address Component: Soundex","PA0292:pA:7ea70bfed3cf4972aeed120a2a357c44","PA0292:pA:0da796aef5d2433e985b6dc4ea1cf2c1",0
"","\nx(3)\n","","","","","","","","","","","","","","","","Address Component: State","PA0292:pA:f1cf16f5fc70455fa1ab43407c08522d","PA0292:pA:0da796aef5d2433e985b6dc4ea1cf2c1",0
"","\nx(30)\n","","","","","","","","","","","","","","","","Address Component: Street","PA0292:pA:bc6c06dbbc9042ed934466a0c93a580e","PA0292:pA:0da796aef5d2433e985b6dc4ea1cf2c1",0
"","\nx(50)\n","","","","","","","","","","","","","","","","Address Component: Street (combined)","PA0292:pA:c3e51e7bf2074055b30c429a378969b5","PA0292:pA:bc6c06dbbc9042ed934466a0c93a580e",0
"","\nx(12)\n","","","","","","","","","","","","","","","","Address Component: Street Number","PA0292:pA:314362c093024b51ab78e7651450c6c7","PA0292:pA:0da796aef5d2433e985b6dc4ea1cf2c1",0
"","\nx(30)\n","","","","","","","","","","","","","","","","Address Component: Title","PA0292:pA:37d3298b72804d26b2e7426ba4c29ce7","PA0292:pA:0da796aef5d2433e985b6dc4ea1cf2c1",0
"","\nx(10)\n","","","","","","","","","","","","","","","","Address Component: ZIP-Code","PA0292:pA:337ed3556f764aaca1d0c5f95310e4d3","PA0292:pA:0da796aef5d2433e985b6dc4ea1cf2c1",0
"","\nx(45)\n","","","","","","","","","","","","","","","","Address Row","PA0292:pA:b2a1414718d75795de11f96a093225ef","PA0292:pA:0da796aef5d2433e985b6dc4ea1cf2c1",0
"","\nx\n","","","","","","","","","","","","","","","","Address Type","PA0292:pA:2ae2540a713147a598cc16d4ca2c7154","PA0292:pA:334e8c423eab47bc97c94f18b654541b",0
"","\nx(60)\n","\nSystem\n","","","","","","","","","","","","","","","Administrators","PA0292:pA:092152d220a648539bdf37310f56133e","PA0292:pA:5bb3aa7c911d42eb924539c1b32b3e22",0
"","","\nno\n","","","","","","","","","","","","","","","Adress changed","PA0292:pA:15920266293b442ca8366d0dd5d66fed","PA0292:pA:fe15ee63d51b3385dc1107bd55fa7d49",0
"","\nzzzzzzz9\n","","","","","","","","","","","","","","","","Adress ID","PA0292:pA:d6bbc8fbf57c4084b663791148609b38","PA0292:pA:46068d1d97b645a9bdd5ba46095cf04b",0
"","","\n?\n","\nno\n","","","","","","","","","","","","","","Adress ID (Customer)","PA0292:pA:5ed5b7693f8f4db0a8d4b7eb603dc6aa","PA0292:pA:d6bbc8fbf57c4084b663791148609b38",0
"","","\n?\n","\nno\n","","","","","","","","","","","","","","Adress ID [nm i?]","PA0292:pA:74abe1caeff54297b9a61012111a74e2","PA0292:pA:d6bbc8fbf57c4084b663791148609b38",0
"","","\nno\n","","","","","","","","","","","","","","","AdviceOfCredit","PA0292:pA:efe8ab1980e45f9bdb1143540bd80c75","PA0292:pA:f0767dca8f398f81db112a0161eac1d2",0
"","","","","","","","","","","","","","","","","","AggregMaintDate","PA0292:pA:d1b60bb3d2afe4aadb11617553fd8af8","PA0292:pA:9d0f10566814988edc1157c0399fcee0",0
"","","","","","","","","","","","","","","","","","aktiv für KZB","PA0292:pA:44ac5d58bdc148a79a275d0408b3c5e0","PA0292:pA:f0767dca8f398f81db112a015ab866f6",0
"","","","","","","","\nVS_ServiceOrderActivityTypes_desc\n","","","","","","","","","","Aktivity Type (Service)","PA0292:pA:88e905e0a74b4807b753e52cecd9cf40","PA0292:pA:d4f9c3b796bdfd99db11750a192dfa1a",0
"","","","","","","","","","","","","","","","","","akz % Rab/Zu","PA0292:pA:7d29e1837f3f4c068f6289c1d5e2df47","PA0292:pA:04390fbb9c5c4a0888c1d7730f8b8bc2",0
"","\n99\n","","\nno\n","","","","","","","","","","","","","","Alert Level [nm]","PA0292:pA:44d02dfea5064fe0bee3aa8766e471f7","PA0292:pA:85f79f2297bb59b2db110c08bdc52853",0
"","","","","","","","\nKU_AllocationsReferBases_desc\n","","","","","","","","","","AllocationReferBases","PA0292:pA:cfeafec777e5f583e01130f6d1c1c0f6","PA0292:pA:55cbc307289c44009f86574d160eab14",0
"","\nx(20)\n","","","","","","","","","","","","","","","","alternate Group","PA0292:pA:e457f139d07b4b5e8c5401d8c4a8ac21","PA0292:pA:e5c0258544c72587db114407c2c1a54d",0
"","","","\nno\n","","","","","","","","","","","","","","alternate Group [nm]","PA0292:pA:377bab35779e4fb28d9a071ad332dc26","PA0292:pA:e457f139d07b4b5e8c5401d8c4a8ac21",0
"","\nx\n","\nA\n","","","","","","","","","","","","","","","Alternate Part Type","PA0292:pA:81a206ace33542639993d2b30ac9cdf9","PA0292:pA:d0c054c48e109b8ddb11e2050af5dd39",0
"","\nx(15)\n","","","","","","","","","","","","","","","","Alternativteil (DATANORM)","PA0292:pA:d80fa3614b0d46f39ef4d5c3e89562db","PA0292:pA:b7375ab07eb80192da114fc5b9640080",0
"","","","","\n2\n","","","","\nAmount\n","","","","","","","","","Amount (dec)","PA0292:pA:acb6528673c24eb3850e17ce5d7b3f4f","PA0292:pA:b41ef9557eb2444ea27a6cd71d78523d",0
"","\nzzz,zzz,zz9.99-\n","","","\n6\n","","","","","","","","","","","","","Amount (high Precision)","PA0292:pA:0a9d744f5fb846989ff189dae5f8d779","PA0292:pA:acb6528673c24eb3850e17ce5d7b3f4f",0
"","\nzzz,zzz,zz9.999999\n","","","","","","","","","","","","","","","","Amount (high Precision) [6 dec +]","PA0292:pA:c6a8075b7c183ea3df11bae80dd18f9a","PA0292:pA:c6a8075b7c183ea3df11bae80d515546",0
"","\nzzz,zzz,zz9.999999-\n","","","","","","","","","","","","","","","","Amount (high Precision) [6 dec]","PA0292:pA:c6a8075b7c183ea3df11bae80d515546","PA0292:pA:0a9d744f5fb846989ff189dae5f8d779",0
"","","","","","","","","","","","","","","","","","Amount (unassigned)","PA0292:pA:bcaba051da824937adeae71f6c01a6cf","PA0292:pA:acb6528673c24eb3850e17ce5d7b3f4f",0
"","\nzzz,zzz,zz9.99-\n","","","","\n{&pa-WaehrungsNK_FW}\n","","","","","","","","","","","","Amount foreign Currency (Grand Total)","PA0292:pA:99e16e22209545b9b767a05f68f757c4","PA0292:pA:acb6528673c24eb3850e17ce5d7b3f4f",0
"","\nzzz,zzz,zz9.99-\n","","","","\n{&pa-WaehrungsNK_FW}\n","","","","","","","","","","","","Amount foreign Currency (Total)","PA0292:pA:d9f9f5d652bd460b94e297e7e3bfc00a","PA0292:pA:acb6528673c24eb3850e17ce5d7b3f4f",0
"","\nzzz,zzz,zz9.99-\n","","","","\n{&pa-WaehrungsNK_FW}\n","","","","","","","","","","","","Amount foreign Currency (Unit)","PA0292:pA:02de1b0d27174356a245ee6c12d83636","PA0292:pA:acb6528673c24eb3850e17ce5d7b3f4f",0
"","\nzzz,zzz,zz9.99-\n","","","","\n{&pa-WaehrungsNK_EW}\n","","","","","","","","","","","","Amount internal Currency (Grand Total)","PA0292:pA:3074275b6e4e482d8387964462e4a324","PA0292:pA:acb6528673c24eb3850e17ce5d7b3f4f",0
"","\nzzz,zzz,zz9.99-\n","","","","\n{&pa-WaehrungsNK_EW}\n","","","","","","","","","","","","Amount internal Currency (Total)","PA0292:pA:d5913b2e1c0b453e95cec653c5898d75","PA0292:pA:acb6528673c24eb3850e17ce5d7b3f4f",0
"","\nzzz,zzz,zz9.99-\n","","","","\n{&pa-WaehrungsNK_EW}\n","","","","","","","","","","","","Amount internal Currency (Unit)","PA0292:pA:ac1410a9a6e2480d96e50e4e266a8823","PA0292:pA:acb6528673c24eb3850e17ce5d7b3f4f",0
"","","","","","","","","","","","","","","","","","an Ergebniskonto","PA0292:pA:bde2a7cdacc54e249348612396119eb0","PA0292:pA:5ca002ecb70546b59959dc737f32d981",0
"","","","","","","","","","","","","","","","","","an Ergebnisträger","PA0292:pA:7845a1f8051a408eadd254b10be91db0","PA0292:pA:d97fa4c42711432daa6d8a7381b810ee",0
"","","\n?\n","","","","","","","","","","","","","","","an Fibu übergeben [nm]","PA0292:pA:9020ee54a83c4cd1b7daeaa38af4240b","PA0292:pA:0ccd92cc96ae472eaa41d92dc1017881",0
"","","\n?\n","","","","","","","","","","","","","","","an Kore übergeben [nm]","PA0292:pA:3558c91cd19c45c68cbd8bdae3556100","PA0292:pA:0ccd92cc96ae472eaa41d92dc1017881",0
"","","","","","","","","","","","","","","","","","an Kostenart","PA0292:pA:044f94430cfb440db9eaf5b98b06c602","PA0292:pA:f370df4f2fb94d74b5eec21d5bf3727e",0
"","","","","","","","","","","","","","","","","","an Kostenstelle","PA0292:pA:a5b3bcd0f8ff47bfabff2a24cef25b2e","PA0292:pA:712c48c5e0364f9ebf2dbc5f70be1a0b",0
"","","","","","","","","","","","","","","","","","an Kostenträger","PA0292:pA:f2f0e912bf314acaaa181b6dab6d4791","PA0292:pA:279d9792cf9e4b5893988b76fafdd839",0
"","\nx(3)\n","","","","","","","","","","","","","","","","Analysis Category","PA0292:pA:1d728b7b0ae04d22b2e5d1c2812c3862","PA0292:pA:3e9f387790214583874b48cb2872650a",0
"","","","","","","","","","","","","","","","","","Analysis Period","PA0292:pA:ab76b73538b852b4db11429bb5d6ea42","PA0292:pA:2d99f2f054d14d43a28d869af99f95a1",0
"","\nzzz,zzz,zz9.999-\n","","\nno\n","\n10\n","","\n2\n","","","","","","","","","","","Analysis Result [nm]","PA0292:pA:2928da400f434339949a73a336ffd9bf","PA0292:pA:bcaba051da824937adeae71f6c01a6cf",0
"","\nzz9\n","","","","","","","","","","","","","","","","Analysis Set","PA0292:pA:ebda67d7311948e180227bf2cfa4d5a7","PA0292:pA:46068d1d97b645a9bdd5ba46095cf04b",0
"","\nzz9\n","","","","","","","","","","","","","","","","Analysis Variant","PA0292:pA:263ff472ef3c4fc088ec34c264faf929","PA0292:pA:46068d1d97b645a9bdd5ba46095cf04b",0
"","\nx(4)\n","","","","","","","","","","","","","","","","Analysis Variant (character)","PA0292:pA:bc6aad94f7d0328bde11a33f7a4d8ed3","PA0292:pA:d4125cd023cb09bcdb117f09068c538c",0
"","","","","","","","","","","","","","","","","","Analyzer File (Master)","PA0292:pA:297c33a3a7d94b7cbb0a10a64e16f7f1","PA0292:pA:494ccefc63664ddb93f5263697e96043",0
"","","","\nno\n","","","","","","","","","","","","","","Analyzer File (Master) [nm]","PA0292:pA:91d4ec7ed8e94f04a7bfe20a791ce40d","PA0292:pA:297c33a3a7d94b7cbb0a10a64e16f7f1",0
